,gyrMag-median,gyrMag-std,accMag-median,accMag-std,count,label,cattle_id,timestamp,timestamp_human
0,266.806,13.399,1.5,0.459,50,Gehen,DE0947746944,1536656757100,2018-09-11 09:05:57.100
1,302.842,17.162,1.447,0.665,48,Gehen,DE0947746944,1536656762100,2018-09-11 09:06:02.100
2,303.068,3.99,1.364,0.99,8,Gehen,DE0947746944,1536656767100,2018-09-11 09:06:07.100
3,202.649,28.004,0.898,0.665,49,Gehen,DE0947746944,1536656884100,2018-09-11 09:08:04.100
4,134.195,65.993,0.341,0.547,42,Gehen,DE0947746944,1536656939098,2018-09-11 09:08:59.098
5,86.144,125.719,0.217,0.25,24,Gehen,DE0947746944,1536656944098,2018-09-11 09:09:04.098
6,358.48,102.807,1.279,0.667,42,Gehen,DE0947746944,1536656983084,2018-09-11 09:09:43.084
7,384.512,64.235,1.335,0.595,42,Gehen,DE0947746944,1536656988084,2018-09-11 09:09:48.084
8,382.257,9.351,1.221,0.636,50,Gehen,DE0947746944,1536656993084,2018-09-11 09:09:53.084
9,383.517,8.16,1.342,0.596,28,Gehen,DE0947746944,1536656998084,2018-09-11 09:09:58.084
10,284.866,21.017,1.573,0.63,50,Gehen,DE0947746944,1536657040033,2018-09-11 09:10:40.033
11,295.864,26.987,1.498,0.778,49,Gehen,DE0947746944,1536657045033,2018-09-11 09:10:45.033
12,263.432,11.457,1.704,0.954,49,Gehen,DE0947746944,1536657050033,2018-09-11 09:10:50.033
13,253.791,20.269,1.498,0.829,39,Gehen,DE0947746944,1536657092101,2018-09-11 09:11:32.101
14,270.777,10.975,1.688,1.276,50,Gehen,DE0947746944,1536657139033,2018-09-11 09:12:19.033
15,227.334,17.983,1.732,1.137,49,Gehen,DE0947746944,1536657179050,2018-09-11 09:12:59.050
16,199.233,47.839,3.41,8.193,20,Gehen,DE0947746944,1536657237061,2018-09-11 09:13:57.061
17,229.69,26.565,1.873,1.11,50,Gehen,DE0947746944,1536657253050,2018-09-11 09:14:13.050
18,257.78,20.015,1.634,0.881,49,Gehen,DE0947746944,1536657258050,2018-09-11 09:14:18.050
19,225.433,14.359,0.895,0.534,39,Gehen,DE0947746944,1536657263050,2018-09-11 09:14:23.050
20,264.127,22.13,1.389,0.754,49,Gehen,DE0947746944,1536657268050,2018-09-11 09:14:28.050
