,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5
78,16.339,142.934,57.202,46.052,34.811,45.577,66.781,0.34,-0.061,0.919,101.31,0.8,3.002,1.668,4.173,2.563,13.044,2.359,6.453,16.391,10.428,10.259,2.09,2.105,10.631,0.66,0.863,0.705,6.552,3.8,3.075,0.232,0.256,0.154,0.333,0.155
79,8.748,102.852,44.11,43.405,21.698,28.123,49.062,0.52,0.059,0.593,70.412,0.4,3.127,3.459,4.767,2.524,3.941,4.196,4.339,18.867,9.978,10.01,2.869,2.117,10.374,0.6,1.831,0.807,8.735,4.6,3.066,0.187,0.13,0.143,0.179,0.203
80,6.216,135.974,47.009,39.303,28.494,38.071,54.823,0.38,1.505,1.22,82.254,0.2,3.005,10.986,3.767,1.794,5.372,1.905,7.008,14.961,10.365,10.177,1.692,1.889,10.499,0.6,-0.009,0.413,5.4,2.8,3.093,0.105,0.331,0.362,0.108,0.183
81,17.168,124.949,56.666,54.183,25.35,32.268,61.974,0.42,0.025,0.661,80.976,1.6,3.098,5.307,1.724,5.435,1.522,4.344,6.034,17.962,10.631,10.294,2.235,1.945,10.859,0.5,1.949,0.969,6.659,3.0,3.044,0.233,0.285,0.177,0.216,0.29
82,2.354,73.583,35.776,33.672,16.599,22.443,39.369,0.54,-0.531,0.233,52.051,0.8,3.076,2.319,1.889,0.426,5.309,3.005,6.019,16.263,10.266,9.906,1.951,1.984,10.446,0.5,0.841,0.503,6.306,3.0,3.126,0.059,0.119,0.099,0.363,0.331
83,11.096,117.249,48.77,44.67,28.565,38.425,56.375,0.36,0.097,0.884,87.399,0.6,3.047,6.902,5.743,7.454,1.573,5.769,6.023,15.339,9.92,9.798,1.907,1.673,10.098,0.44,0.581,0.432,5.769,1.8,3.014,0.15,0.165,0.104,0.213,0.135
84,12.187,146.142,60.243,51.793,35.847,49.647,69.918,0.34,-0.568,0.686,110.486,0.4,3.075,6.639,10.507,4.502,6.549,9.432,7.515,18.382,10.164,10.023,1.833,1.798,10.325,0.54,6.647,2.018,5.954,3.6,3.108,0.181,0.21,0.157,0.26,0.102
85,11.657,162.378,49.154,42.547,31.126,41.013,58.014,0.34,2.611,1.396,97.951,1.4,3.095,5.451,4.238,6.858,3.132,6.795,5.953,16.757,10.713,10.53,2.17,2.903,10.926,0.54,0.115,0.541,6.939,2.6,3.106,0.191,0.04,0.309,0.271,0.254
86,10.325,193.016,55.229,42.721,40.599,34.664,68.305,0.28,2.901,1.853,122.973,0.6,3.062,4.569,6.348,12.74,5.194,7.009,4.469,16.039,10.19,9.963,2.02,1.833,10.384,0.54,1.48,0.271,6.506,2.4,3.118,0.17,0.064,0.295,0.145,0.14
87,6.521,138.857,58.313,48.949,32.745,46.229,66.717,0.48,-0.072,0.769,100.979,2.4,3.073,2.569,2.812,2.884,1.084,3.963,6.093,14.838,10.459,10.346,1.867,2.656,10.621,0.5,-0.119,0.046,5.539,4.4,3.027,0.224,0.065,0.185,0.045,0.111
