,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5
139,4.357,154.503,49.002,39.596,34.447,29.006,59.7,0.38,1.781,1.475,110.118,0.2,3.112,9.032,6.4,2.207,3.035,2.574,5.76,14.93,10.277,10.051,2.165,2.633,10.498,0.6,-0.632,0.133,6.728,3.2,3.064,0.145,0.253,0.203,0.105,0.219
140,3.581,76.798,28.207,23.932,17.815,22.15,33.266,0.32,-0.061,0.79,54.186,0.2,3.055,5.341,1.931,3.474,4.579,3.225,8.845,12.938,10.072,9.889,0.729,0.773,10.098,0.52,4.285,1.68,2.361,5.0,3.075,0.121,0.174,0.095,0.063,0.038
141,0.22,20.265,3.785,1.91,4.679,1.859,5.982,0.06,3.612,2.162,12.23,0.2,2.885,1.775,1.155,1.205,1.35,0.963,9.944,10.329,10.064,10.051,0.074,0.066,10.064,0.58,2.958,1.435,0.247,3.8,3.144,0.012,0.011,0.01,0.011,0.014
143,1.091,121.558,39.904,28.787,31.449,58.933,50.612,0.26,-0.874,0.47,92.962,0.2,3.035,11.907,3.842,9.05,5.502,5.664,9.454,11.081,10.153,10.138,0.299,0.271,10.157,0.5,2.147,0.843,0.987,5.0,3.12,0.03,0.065,0.015,0.019,0.026
144,0.747,72.013,13.438,4.64,19.866,7.843,23.819,0.04,2.244,1.891,40.98,0.2,2.602,9.494,7.026,5.421,3.222,1.21,9.604,10.358,10.109,10.123,0.139,0.168,10.11,0.48,2.158,-1.057,0.442,0.2,3.108,0.038,0.028,0.009,0.015,0.017
145,0.832,77.7,18.535,13.702,16.772,18.782,24.884,0.22,2.333,1.568,45.458,0.6,2.956,1.365,2.164,7.722,2.814,3.495,8.846,11.073,10.125,10.113,0.345,0.309,10.13,0.4,3.092,-0.544,0.972,1.4,2.956,0.067,0.045,0.006,0.1,0.064
146,1.983,67.044,23.98,20.255,17.339,28.487,29.49,0.2,-0.798,0.51,42.315,0.4,2.8,6.655,6.707,3.71,3.653,3.028,9.42,10.884,10.073,10.046,0.279,0.326,10.077,0.42,0.722,0.358,0.834,1.6,3.029,0.017,0.006,0.047,0.027,0.048
147,2.437,159.519,42.327,33.628,34.952,40.214,54.67,0.2,1.96,1.446,89.638,0.2,2.868,15.841,5.249,7.056,2.787,4.571,9.06,12.164,10.266,10.165,0.683,0.564,10.288,0.52,0.576,0.811,2.136,2.0,3.089,0.094,0.05,0.069,0.007,0.06
148,1.34,14.748,4.122,3.308,2.723,2.636,4.926,0.32,4.532,2.044,7.829,0.2,3.0,0.974,0.525,0.705,0.719,0.371,9.663,10.297,9.991,9.999,0.133,0.171,9.992,0.54,0.04,-0.039,0.444,5.0,3.091,0.01,0.018,0.013,0.027,0.018
149,1.475,32.414,11.08,10.347,7.041,9.024,13.09,0.26,1.273,1.085,20.67,0.6,3.035,1.683,0.718,2.633,1.809,0.581,9.56,10.539,10.146,10.156,0.179,0.181,10.148,0.42,1.535,-0.669,0.597,2.8,3.153,0.02,0.015,0.028,0.032,0.034
150,2.233,160.461,43.573,32.73,40.036,37.884,58.902,0.2,0.894,1.321,99.916,0.6,2.865,2.271,7.289,19.856,5.106,4.736,8.127,11.414,10.017,10.022,0.538,0.478,10.031,0.44,2.45,-0.597,1.756,2.8,3.114,0.049,0.078,0.097,0.077,0.098
151,2.652,62.671,24.937,22.544,16.224,22.509,29.662,0.3,-0.406,0.713,43.168,0.2,2.907,6.092,3.257,4.083,5.017,2.265,9.346,11.168,10.084,10.06,0.321,0.351,10.089,0.58,1.602,0.618,1.021,3.0,3.085,0.008,0.025,0.059,0.022,0.019
152,0.572,32.052,7.625,6.856,5.056,4.049,9.121,0.44,9.29,2.488,15.962,2.8,3.088,0.852,0.22,0.621,1.079,0.821,9.739,11.385,10.1,10.065,0.257,0.201,10.103,0.54,10.791,2.64,0.808,3.8,3.094,0.023,0.016,0.024,0.014,0.04
154,0.774,58.166,12.179,6.0,15.059,8.035,19.25,0.06,2.546,1.938,38.404,0.4,2.859,1.597,6.013,3.293,4.356,3.866,9.715,10.736,10.125,10.134,0.174,0.238,10.127,0.62,1.964,0.616,0.547,4.8,3.086,0.024,0.026,0.011,0.014,0.007
155,2.845,130.937,21.992,12.526,25.336,15.06,33.358,0.2,6.653,2.556,72.957,0.4,3.006,4.368,8.284,7.996,3.958,5.618,8.858,14.539,10.164,10.147,0.743,0.362,10.19,0.58,22.569,4.012,2.501,3.0,3.174,0.077,0.059,0.086,0.103,0.118
156,1.47,41.164,11.423,6.388,10.393,14.937,15.373,0.04,1.024,1.368,23.173,0.2,2.719,5.393,2.919,1.132,0.346,0.058,9.179,10.485,9.95,9.939,0.197,0.195,9.952,0.58,3.89,-0.59,0.619,3.8,3.057,0.023,0.023,0.01,0.006,0.016
157,3.787,208.063,33.199,28.539,30.476,24.614,44.86,0.24,19.8,3.903,93.814,0.6,3.085,8.639,4.068,9.785,6.207,4.392,6.127,11.128,10.041,10.08,0.66,0.258,10.062,0.6,23.111,-4.173,2.182,1.2,3.152,0.104,0.118,0.073,0.057,0.115
158,3.048,253.025,77.173,66.921,58.972,93.122,96.766,0.16,-0.161,0.668,143.64,0.2,2.767,25.245,17.802,12.976,9.245,4.74,8.286,11.852,10.034,9.91,0.791,0.789,10.064,0.54,-0.023,0.287,2.531,4.4,3.11,0.079,0.078,0.179,0.181,0.061
160,4.657,133.959,41.165,33.49,31.072,36.553,51.388,0.28,0.662,1.123,84.999,0.6,2.964,3.022,4.09,13.839,2.427,6.725,8.526,12.356,10.16,10.114,0.7,0.691,10.184,0.52,1.7,0.72,2.226,0.4,3.11,0.092,0.169,0.045,0.076,0.026
161,0.456,76.263,15.515,12.558,15.142,12.162,21.574,0.22,4.898,2.075,38.756,0.4,2.851,3.164,6.33,3.136,4.361,2.995,9.689,10.671,10.037,10.018,0.183,0.121,10.039,0.54,2.42,0.972,0.559,0.2,3.066,0.053,0.015,0.037,0.036,0.015
162,3.178,114.833,23.954,12.164,27.757,15.635,36.453,0.08,2.047,1.756,68.789,0.8,2.844,9.627,2.765,9.622,10.013,4.362,8.109,10.821,10.019,10.009,0.384,0.267,10.027,0.58,10.732,-2.26,1.213,4.6,3.092,0.043,0.061,0.06,0.003,0.04
163,0.838,12.711,5.251,4.608,3.121,4.41,6.093,0.34,-0.164,0.766,9.671,1.6,3.09,0.244,0.219,0.219,0.391,0.283,9.666,10.506,10.08,10.049,0.17,0.2,10.081,0.38,0.232,0.314,0.49,2.0,2.984,0.05,0.027,0.005,0.009,0.041
164,1.556,106.24,20.006,8.856,22.341,25.482,29.823,0.12,3.218,1.762,59.811,0.6,2.885,6.343,6.498,6.631,5.856,4.827,9.391,10.868,10.108,10.09,0.261,0.213,10.111,0.64,1.373,-0.002,0.852,5.0,3.063,0.038,0.03,0.033,0.029,0.015
165,1.487,211.651,34.566,10.497,52.94,24.422,62.78,0.16,3.212,2.067,140.989,0.4,2.916,17.128,19.82,15.297,10.511,6.275,7.205,13.571,9.879,9.966,0.802,0.585,9.911,0.36,9.5,1.015,2.704,1.8,3.171,0.143,0.142,0.149,0.106,0.094
166,1.862,41.095,13.322,11.784,9.385,11.076,16.242,0.28,0.771,1.1,26.785,1.0,2.953,0.715,2.271,1.79,1.069,3.698,9.446,10.928,10.133,10.106,0.251,0.241,10.136,0.54,1.517,0.496,0.766,2.4,3.051,0.019,0.034,0.028,0.017,0.011
167,1.5,95.353,20.921,5.462,27.907,29.659,34.654,0.08,0.767,1.463,58.876,0.2,2.695,14.891,9.436,4.786,2.582,1.985,9.447,10.871,10.147,10.153,0.251,0.192,10.15,0.5,1.595,0.07,0.824,4.0,3.142,0.038,0.028,0.01,0.027,0.032
168,2.554,109.411,22.574,15.399,23.716,24.084,32.57,0.16,3.505,1.932,64.378,0.2,2.962,11.087,4.824,2.746,1.057,1.889,9.198,10.783,9.978,9.985,0.321,0.365,9.983,0.56,0.363,0.014,0.993,4.2,3.071,0.025,0.047,0.022,0.077,0.058
170,0.931,37.871,9.92,6.914,8.661,12.444,13.111,0.12,0.681,1.131,19.976,0.2,2.763,4.598,1.302,0.485,0.936,1.281,9.828,10.546,10.144,10.142,0.131,0.124,10.145,0.42,1.403,0.43,0.404,1.0,3.051,0.019,0.015,0.007,0.018,0.032
172,0.456,168.716,28.598,10.17,40.305,28.277,49.09,0.04,2.669,1.863,102.86,0.2,2.942,18.959,14.548,5.564,2.877,4.2,8.523,11.688,10.141,10.081,0.485,0.256,10.152,0.36,3.469,0.372,1.485,2.0,3.014,0.021,0.046,0.005,0.058,0.006
173,3.343,147.613,42.845,36.754,36.815,59.073,56.249,0.12,-0.038,0.854,90.374,0.2,2.887,19.466,6.61,8.957,3.006,4.682,8.119,12.738,10.186,10.148,0.685,0.46,10.208,0.54,3.771,0.548,2.128,4.8,3.051,0.072,0.07,0.017,0.07,0.089
175,3.822,161.668,39.21,28.742,34.1,46.639,51.74,0.28,2.049,1.388,87.605,0.2,2.825,12.351,7.187,6.713,4.308,11.462,8.599,11.646,9.97,9.928,0.568,0.506,9.986,0.62,1.364,0.543,1.735,4.4,3.056,0.078,0.097,0.042,0.106,0.024
176,0.559,51.743,9.764,4.883,11.923,9.688,15.318,0.22,3.507,1.994,29.215,0.2,2.812,5.259,3.445,3.035,2.141,2.398,9.561,10.762,10.019,10.014,0.202,0.166,10.021,0.56,3.259,0.928,0.648,5.0,3.072,0.009,0.014,0.003,0.015,0.009
177,1.987,38.856,15.69,13.758,9.641,13.547,18.365,0.42,-0.374,0.752,29.053,0.4,3.066,0.935,3.69,1.177,0.911,1.19,9.489,11.106,10.211,10.234,0.356,0.566,10.218,0.42,-0.187,0.045,1.152,0.8,3.106,0.012,0.047,0.031,0.102,0.068
178,0.684,124.507,25.719,18.115,27.27,29.883,37.286,0.16,2.86,1.727,65.433,0.2,2.806,11.654,10.309,5.894,1.686,3.644,9.134,10.68,10.097,10.116,0.295,0.292,10.102,0.54,1.593,-0.872,0.913,3.8,3.069,0.044,0.03,0.009,0.052,0.056
179,3.202,93.793,21.189,16.318,16.36,14.501,26.67,0.18,6.047,2.121,50.86,1.0,3.068,3.203,0.998,4.083,3.704,4.541,8.824,10.804,10.074,10.124,0.372,0.232,10.081,0.36,3.302,-1.152,1.218,1.6,3.133,0.038,0.034,0.055,0.063,0.074
180,2.968,73.337,26.368,23.51,17.569,22.331,31.588,0.28,-0.095,0.752,45.546,0.2,2.851,6.244,3.917,4.871,0.701,4.133,8.831,11.229,10.085,10.1,0.432,0.413,10.094,0.62,0.947,-0.214,1.353,4.6,3.075,0.016,0.024,0.007,0.038,0.053
181,1.08,66.059,9.911,4.679,14.261,5.49,17.249,0.06,5.725,2.554,30.794,0.2,2.575,5.646,5.097,3.884,3.035,2.486,9.664,10.55,10.137,10.111,0.172,0.217,10.139,0.32,0.174,0.055,0.565,0.4,3.144,0.021,0.043,0.025,0.029,0.031
182,1.856,79.883,18.893,12.236,18.246,17.736,26.139,0.1,2.858,1.804,48.301,0.6,2.909,2.224,4.092,6.574,3.483,6.492,9.018,11.319,10.202,10.131,0.391,0.339,10.21,0.62,2.715,0.564,1.233,3.6,3.098,0.049,0.026,0.031,0.044,0.062
183,1.746,57.915,20.98,16.689,14.997,25.358,25.702,0.2,-0.713,0.571,39.059,0.2,2.903,6.753,2.685,4.252,1.457,1.141,9.54,11.231,10.152,10.134,0.285,0.324,10.156,0.5,2.691,0.908,0.907,4.6,3.064,0.054,0.044,0.042,0.009,0.019
185,0.671,111.953,37.313,32.554,26.318,37.319,45.508,0.24,-0.21,0.692,67.085,0.4,2.902,9.562,10.907,5.831,1.439,2.07,9.596,11.242,10.133,10.053,0.361,0.428,10.14,0.48,1.384,1.095,1.118,2.4,3.068,0.083,0.016,0.061,0.018,0.03
186,1.619,48.329,11.034,4.885,12.113,11.232,16.295,0.14,1.128,1.487,27.798,0.2,2.726,5.283,4.704,2.343,1.273,0.721,9.563,10.305,9.99,10.006,0.14,0.135,9.991,0.6,1.763,-0.944,0.47,3.6,3.156,0.009,0.015,0.021,0.006,0.026
187,0.809,67.535,17.876,14.752,12.784,11.571,21.903,0.2,3.24,1.613,35.953,0.2,2.966,4.569,3.171,2.568,0.783,3.441,8.93,12.177,10.125,10.095,0.487,0.377,10.137,0.6,5.277,1.32,1.588,5.0,3.079,0.035,0.05,0.054,0.008,0.052
188,1.405,118.625,15.77,5.922,26.897,9.446,30.947,0.12,5.893,2.633,63.504,0.2,2.73,11.135,7.818,6.454,6.088,5.509,9.471,11.248,10.132,10.112,0.235,0.134,10.135,0.42,9.658,1.843,0.781,4.8,3.14,0.026,0.037,0.04,0.032,0.037
189,0.981,95.956,27.199,17.605,24.967,20.262,36.751,0.2,1.234,1.518,60.55,0.8,2.805,8.089,3.413,6.659,9.756,6.935,9.517,11.23,10.19,10.19,0.299,0.331,10.194,0.46,2.164,0.852,0.947,0.8,3.075,0.03,0.052,0.026,0.087,0.016
191,1.85,130.712,33.586,23.626,30.306,30.962,45.034,0.18,1.38,1.443,77.428,0.2,2.864,13.547,8.587,4.464,4.104,1.541,8.718,11.29,10.127,10.153,0.459,0.39,10.137,0.48,1.415,-0.478,1.498,0.8,3.126,0.1,0.056,0.047,0.112,0.053
192,2.034,99.249,23.822,18.037,22.607,28.769,32.685,0.26,1.7,1.407,63.858,0.8,2.967,6.755,4.022,2.441,6.827,4.416,9.343,11.446,10.12,10.134,0.338,0.338,10.126,0.62,3.896,0.971,1.107,3.2,3.124,0.015,0.036,0.041,0.019,0.045
193,1.022,74.7,24.288,15.878,21.624,35.042,32.375,0.18,-0.574,0.876,54.667,0.2,2.881,9.659,1.717,3.436,7.279,2.185,9.367,11.019,10.082,10.052,0.346,0.438,10.088,0.42,0.093,0.427,1.083,1.4,3.082,0.036,0.033,0.056,0.011,0.01
194,5.385,74.892,25.558,21.311,16.023,13.427,30.08,0.3,1.462,1.451,44.919,0.2,2.977,6.67,4.318,1.981,1.582,2.001,9.332,11.948,10.011,9.992,0.415,0.422,10.02,0.56,7.858,2.01,1.396,3.0,3.163,0.033,0.063,0.083,0.067,0.06
195,1.544,86.366,15.14,6.838,20.799,11.619,25.557,0.16,3.956,2.214,46.592,0.4,2.693,6.109,9.485,4.806,5.447,3.005,9.478,10.881,10.052,10.043,0.195,0.131,10.053,0.58,6.257,0.859,0.626,4.6,3.088,0.019,0.009,0.014,0.017,0.02
196,3.055,52.029,13.762,9.492,10.434,11.014,17.207,0.2,2.292,1.603,31.37,0.6,3.059,0.893,2.751,3.834,1.611,1.883,8.942,10.835,10.119,10.146,0.305,0.276,10.124,0.48,3.582,-1.036,1.008,3.4,3.131,0.033,0.011,0.026,0.056,0.026
197,1.701,209.244,34.357,20.97,43.618,31.564,55.18,0.16,6.963,2.617,120.809,0.2,2.949,15.592,4.42,7.038,7.669,10.272,8.859,11.25,10.055,10.123,0.401,0.292,10.063,0.6,2.403,-0.474,1.3,3.0,3.105,0.065,0.026,0.051,0.012,0.044
198,0.228,100.799,10.082,5.341,18.585,6.864,20.98,0.16,15.408,3.95,55.061,0.2,3.023,5.233,4.602,4.59,4.122,3.625,9.518,10.546,10.088,10.097,0.158,0.121,10.09,0.6,3.532,-0.389,0.483,1.8,3.045,0.008,0.005,0.006,0.023,0.035
199,0.703,12.693,4.908,4.033,2.959,3.216,5.716,0.36,0.449,1.024,8.733,1.6,3.006,0.203,0.195,0.483,0.593,0.488,9.749,10.308,10.076,10.069,0.124,0.159,10.077,0.48,-0.054,-0.296,0.416,0.2,3.166,0.03,0.017,0.023,0.014,0.021
200,0.371,16.801,5.186,3.765,4.634,5.897,6.924,0.14,-0.298,1.035,11.942,0.4,2.879,0.509,1.814,1.625,1.106,0.713,9.867,10.348,10.097,10.091,0.087,0.11,10.097,0.58,0.562,0.211,0.263,3.8,3.052,0.012,0.003,0.018,0.008,0.005
201,0.48,23.227,6.161,4.991,4.319,4.098,7.499,0.34,6.008,2.15,13.511,0.2,3.067,1.107,1.094,0.941,0.377,0.463,9.449,10.316,9.983,9.966,0.177,0.24,9.985,0.64,0.214,-0.336,0.511,3.0,2.984,0.014,0.002,0.008,0.026,0.019
202,1.147,28.356,6.767,5.083,5.521,5.138,8.699,0.22,4.501,2.043,15.984,0.6,2.999,0.982,1.064,2.126,0.989,0.988,9.658,10.371,10.092,10.096,0.131,0.163,10.093,0.52,1.074,-0.364,0.412,4.2,3.089,0.014,0.004,0.02,0.004,0.013
203,1.547,57.379,13.425,7.619,13.731,9.229,19.105,0.2,3.424,2.04,33.436,0.2,2.779,5.258,3.674,4.57,3.18,2.373,9.008,10.815,9.957,9.984,0.3,0.278,9.961,0.52,1.998,-0.402,0.942,1.4,3.092,0.013,0.02,0.031,0.014,0.063
204,0.864,29.095,9.971,7.193,7.99,10.461,12.727,0.2,-0.091,0.998,21.126,0.4,2.931,2.32,3.049,2.708,1.052,0.722,9.624,10.475,10.081,10.072,0.176,0.19,10.082,0.62,0.415,0.055,0.559,2.6,3.088,0.009,0.016,0.041,0.029,0.021
205,0.737,82.669,22.157,10.774,24.445,37.851,32.811,0.1,-0.29,1.032,54.374,0.2,2.704,11.337,2.105,7.939,6.655,4.67,9.184,10.555,9.858,9.851,0.22,0.191,9.86,0.4,2.236,-0.049,0.678,2.6,3.066,0.031,0.013,0.007,0.012,0.018
206,2.187,55.044,17.316,13.107,12.391,15.174,21.22,0.26,1.381,1.327,37.151,0.2,3.048,4.066,1.765,0.999,2.771,1.143,8.966,10.877,9.914,9.892,0.348,0.371,9.92,0.44,1.288,0.097,1.08,0.2,3.075,0.1,0.052,0.059,0.03,0.037
207,1.046,106.947,14.632,5.687,24.556,9.843,28.373,0.12,6.559,2.746,56.146,0.2,2.651,9.861,7.434,6.812,5.497,4.516,9.687,10.456,10.093,10.137,0.191,0.228,10.095,0.52,-0.416,-0.571,0.581,0.2,3.045,0.058,0.002,0.015,0.016,0.013
208,2.867,131.192,26.74,16.182,30.917,25.581,40.642,0.06,3.879,2.104,73.705,0.4,2.769,5.037,14.01,8.411,7.685,5.921,9.222,11.301,10.099,10.082,0.339,0.342,10.104,0.5,2.813,0.337,1.09,1.2,3.114,0.026,0.027,0.048,0.058,0.054
209,0.404,108.856,15.952,3.827,27.836,6.838,31.841,0.06,3.653,2.179,61.195,0.2,2.667,11.308,10.599,8.323,5.171,3.922,9.382,10.498,9.823,9.806,0.188,0.143,9.824,0.56,3.238,1.205,0.629,4.0,3.163,0.021,0.013,0.018,0.032,0.034
210,1.709,35.543,7.6,6.507,5.637,6.723,9.429,0.28,10.193,2.617,16.908,0.2,3.04,1.873,0.536,0.229,1.251,1.375,9.209,10.684,10.055,10.019,0.23,0.21,10.057,0.54,3.409,-0.145,0.732,1.0,3.09,0.011,0.033,0.032,0.034,0.055
211,0.816,100.978,23.917,14.903,22.879,21.362,32.939,0.14,1.931,1.567,61.152,0.4,2.95,9.069,9.311,2.641,1.712,1.359,8.75,11.328,10.122,10.14,0.44,0.514,10.131,0.52,1.368,-0.492,1.397,2.4,3.113,0.035,0.036,0.113,0.038,0.068
212,1.355,74.278,22.955,16.393,21.22,31.822,31.116,0.08,-0.309,0.881,41.439,0.4,2.505,5.361,9.689,8.61,1.386,1.526,9.686,11.078,10.022,9.986,0.211,0.186,10.024,0.48,10.807,2.432,0.668,1.8,3.096,0.028,0.042,0.024,0.025,0.013
213,0.873,70.013,12.729,4.908,17.523,4.442,21.516,0.02,2.227,1.877,34.896,0.2,2.541,8.163,6.514,4.903,2.799,1.242,9.581,10.4,10.041,10.026,0.16,0.18,10.042,0.46,0.577,-0.062,0.479,2.0,3.041,0.021,0.017,0.027,0.014,0.019
214,0.39,19.971,3.317,2.382,3.399,2.272,4.725,0.24,10.156,2.853,9.856,0.4,3.014,0.307,1.199,0.362,1.065,0.371,9.809,10.453,10.044,10.049,0.106,0.124,10.045,0.66,2.902,0.932,0.317,4.2,2.998,0.006,0.009,0.004,0.013,0.005
215,0.414,19.784,4.254,3.034,3.923,2.083,5.76,0.26,6.814,2.611,11.362,0.2,3.021,1.576,0.983,0.797,0.572,0.38,9.583,10.827,10.192,10.183,0.18,0.141,10.193,0.5,5.874,0.806,0.508,2.2,2.943,0.006,0.014,0.01,0.011,0.021
216,2.337,76.925,24.305,21.192,18.13,23.348,30.213,0.34,1.049,1.184,56.163,0.4,3.072,3.58,4.713,3.639,2.568,3.713,8.961,11.126,10.012,10.025,0.43,0.494,10.021,0.68,0.392,0.035,1.38,3.0,3.072,0.034,0.022,0.025,0.026,0.002
217,1.233,65.03,14.374,7.796,15.502,14.075,21.026,0.06,2.55,1.758,37.11,0.2,2.817,7.805,3.828,3.564,2.551,0.582,9.547,10.6,10.043,10.01,0.179,0.16,10.044,0.52,1.847,0.651,0.581,1.8,3.137,0.019,0.016,0.017,0.033,0.012
218,1.009,55.546,10.727,5.215,13.047,7.119,16.789,0.12,4.266,2.237,30.241,0.2,2.706,5.038,4.922,3.435,2.64,2.316,9.565,10.386,10.007,10.007,0.146,0.15,10.008,0.58,1.246,-0.225,0.462,1.2,3.104,0.023,0.005,0.016,0.006,0.026
219,1.949,141.982,23.236,9.829,30.557,23.055,38.144,0.12,5.003,2.263,65.869,0.2,2.61,13.728,10.99,7.347,2.939,5.093,9.439,10.458,9.999,9.973,0.22,0.281,10.002,0.6,-0.009,0.16,0.68,1.2,3.057,0.038,0.011,0.001,0.021,0.028
220,1.226,37.547,10.231,7.305,8.535,9.048,13.269,0.16,1.605,1.498,19.56,0.2,2.74,3.988,1.577,2.48,2.245,1.528,9.481,10.594,10.135,10.146,0.184,0.167,10.137,0.48,2.454,-0.886,0.588,2.8,3.097,0.005,0.011,0.018,0.025,0.014
221,0.783,144.046,24.313,11.881,28.952,29.468,37.584,0.04,4.592,2.041,66.825,0.2,2.769,14.681,7.749,3.378,4.682,5.344,9.606,11.319,10.139,10.077,0.325,0.293,10.144,0.44,2.073,1.177,1.033,1.0,3.096,0.064,0.046,0.031,0.054,0.078
222,1.913,32.61,11.878,11.585,6.053,7.935,13.304,0.28,1.055,0.683,16.939,0.6,2.965,1.438,0.143,2.316,0.687,0.088,9.476,10.686,10.086,10.124,0.245,0.36,10.089,0.44,-0.252,-0.092,0.735,1.8,3.052,0.004,0.042,0.034,0.029,0.017
223,1.605,61.629,17.38,11.631,15.589,21.529,23.243,0.2,0.286,1.077,43.074,0.2,2.967,6.592,2.403,2.155,3.054,1.145,9.322,10.536,9.89,9.871,0.218,0.157,9.892,0.54,1.806,0.726,0.662,4.0,3.021,0.046,0.011,0.048,0.043,0.028
224,1.549,99.435,25.857,18.597,21.951,22.308,33.776,0.22,2.695,1.629,65.453,1.0,3.026,4.997,4.11,2.914,2.616,6.244,9.101,10.876,10.1,10.105,0.39,0.425,10.108,0.56,0.2,-0.261,1.213,0.4,3.08,0.035,0.111,0.102,0.032,0.051
225,4.872,155.649,50.845,40.938,40.182,58.868,64.556,0.22,0.023,0.909,100.664,0.2,2.88,19.241,11.351,2.915,5.265,9.101,8.235,13.421,10.066,10.095,0.788,0.795,10.097,0.44,5.176,1.15,2.465,0.8,3.093,0.066,0.105,0.039,0.21,0.202
226,3.127,135.667,41.914,36.565,33.545,46.818,53.475,0.2,0.516,1.043,87.217,0.4,2.904,4.54,14.891,8.978,9.507,2.015,8.972,11.42,10.142,10.117,0.492,0.521,10.154,0.48,0.728,0.439,1.477,2.0,3.036,0.059,0.037,0.052,0.115,0.046
227,0.503,67.388,12.375,4.603,17.559,14.024,21.338,0.06,3.404,2.103,44.125,0.2,2.843,7.842,2.926,1.717,3.989,4.614,8.896,10.639,10.037,10.048,0.263,0.15,10.04,0.52,6.969,-1.587,0.826,1.4,3.097,0.027,0.014,0.036,0.027,0.014
228,1.397,146.079,32.656,13.314,38.835,39.509,50.442,0.18,0.984,1.444,91.401,0.6,2.767,12.549,9.665,16.19,11.087,2.124,9.437,11.25,10.103,10.104,0.314,0.332,10.108,0.44,2.561,0.974,0.995,0.2,3.094,0.079,0.03,0.032,0.012,0.061
230,0.305,83.042,15.86,8.118,18.97,18.19,24.58,0.16,2.706,1.78,43.927,0.2,2.721,8.585,3.041,3.907,4.558,5.536,9.324,11.19,10.134,10.116,0.258,0.15,10.138,0.48,5.719,0.913,0.798,0.8,3.072,0.054,0.038,0.03,0.06,0.042
231,1.007,188.226,29.325,12.85,37.49,30.573,47.3,0.18,5.165,2.13,100.925,0.2,2.98,18.621,8.181,6.25,3.651,4.773,5.759,13.129,9.92,9.876,0.917,0.354,9.962,0.44,9.82,-1.21,2.936,5.0,3.061,0.057,0.075,0.053,0.05,0.088
232,6.404,90.122,40.566,41.158,20.95,26.419,45.56,0.24,-0.424,0.395,60.258,0.4,2.992,5.931,5.956,3.428,5.617,3.669,8.803,11.522,10.068,10.015,0.499,0.56,10.08,0.46,0.632,0.386,1.553,5.0,2.992,0.062,0.044,0.034,0.043,0.014
233,3.097,95.638,36.211,32.323,24.953,33.722,43.834,0.34,-0.188,0.782,73.692,0.4,3.017,6.351,6.823,2.554,3.012,3.538,8.318,11.306,10.122,10.179,0.613,0.553,10.141,0.52,1.288,-0.885,1.876,4.6,3.074,0.032,0.068,0.039,0.075,0.021
236,6.482,66.53,23.196,18.903,15.96,19.821,28.065,0.26,0.66,1.224,44.768,0.4,2.964,4.341,5.17,4.406,2.112,2.844,9.662,11.061,10.249,10.282,0.292,0.32,10.253,0.34,0.697,0.149,0.861,1.2,3.023,0.054,0.011,0.028,0.028,0.035
237,1.28,25.565,9.992,9.666,5.042,5.698,11.169,0.36,0.648,0.886,15.901,0.8,3.055,0.212,1.021,0.95,1.571,0.533,9.675,10.615,10.112,10.143,0.214,0.278,10.114,0.52,-0.331,0.07,0.669,1.2,3.084,0.028,0.031,0.027,0.039,0.024
238,1.826,106.779,29.868,26.67,25.747,31.027,39.265,0.34,1.86,1.45,69.265,0.4,2.944,7.385,11.343,4.709,0.289,1.801,8.563,12.094,10.123,10.179,0.553,0.403,10.138,0.62,3.396,0.156,1.764,5.0,3.057,0.012,0.054,0.039,0.053,0.031
239,0.66,25.781,7.44,4.096,6.87,8.742,10.08,0.28,0.105,1.091,18.441,0.4,2.938,0.596,2.97,1.773,1.484,1.321,8.879,10.926,9.949,9.977,0.406,0.171,9.957,0.48,1.485,-0.216,1.269,3.4,3.077,0.057,0.011,0.082,0.057,0.023
240,0.631,9.95,3.386,2.468,2.446,2.977,4.163,0.42,0.984,1.321,7.478,0.2,3.062,0.687,0.677,0.515,0.258,0.523,9.789,10.197,10.025,10.02,0.085,0.086,10.026,0.42,0.511,-0.253,0.255,1.8,3.043,0.01,0.003,0.014,0.002,0.013
241,0.721,20.156,3.858,3.491,3.362,2.681,5.095,0.28,11.221,3.06,9.396,0.2,2.967,1.283,0.826,0.957,0.368,0.35,9.981,10.384,10.125,10.119,0.075,0.097,10.126,0.48,1.478,0.925,0.236,0.6,3.105,0.012,0.003,0.021,0.009,0.01
242,0.797,66.55,13.744,10.317,15.308,11.494,20.458,0.16,3.812,2.06,40.028,0.4,2.911,5.167,5.905,3.869,2.031,3.452,9.532,11.099,10.132,10.071,0.254,0.221,10.135,0.58,3.445,1.281,0.823,4.4,3.094,0.024,0.041,0.04,0.02,0.018
