cattle_id,timestamp,label,ax,ay,az,gx,gy,gz
goat03,1,walking,0.6160,-0.4545,0.5272,18.7805,-132.8660,-36.2805
goat03,101,walking,0.5453,-1.5150,-0.4328,82.3780,-23.1098,-58.9634
goat03,201,walking,0.3698,-0.6027,-1.1038,29.2073,-229.3290,-101.0980
goat03,301,walking,0.4688,-0.1808,-0.0776,-12.7439,-56.4024,-73.4146
goat03,401,walking,0.4663,-0.2489,0.2382,-8.2927,-61.1585,6.6463
goat03,501,walking,0.5273,-2.4732,-1.7559,58.2317,-17.5000,54.8171
goat03,601,walking,1.8917,-0.3796,-1.7670,114.8780,-92.5610,-8.9024
goat03,701,walking,0.3474,0.0443,0.0145,-6.2195,30.6098,-51.2195
goat03,801,walking,0.1300,-1.7502,-0.2785,103.0490,-56.4024,-16.6463
goat03,901,walking,0.4537,0.1340,-0.2147,82.8049,-157.6830,-7.5000
goat03,1001,walking,0.4858,0.2500,-0.3627,-12.3171,-117.7440,-51.9512
goat03,1101,walking,0.5331,-0.2794,0.1768,-92.5610,73.8415,33.4756
goat03,1201,walking,0.4288,-4.1185,-0.6313,-12.1951,-51.2195,22.7439
goat03,1301,walking,0.4156,0.5691,-0.2643,92.4390,-4.8171,90.5488
goat03,1401,walking,1.5227,-0.2457,-0.1328,-39.5122,229.4510,-70.7927
goat03,1501,walking,-0.0479,-0.2726,0.7194,-20.4268,-108.2320,-139.6340
goat03,1601,walking,0.1578,-3.1034,-0.7360,121.2800,-5.4268,100.1220
goat03,1701,walking,0.3952,-0.1376,-0.6888,103.5980,-117.5000,114.9390
goat03,1801,walking,1.6962,0.0238,0.2673,-20.9756,-314.0850,-157.9270
goat03,1901,walking,0.2402,0.0122,-0.1477,-65.2439,249.4510,4.5122
goat03,2001,walking,-0.2883,-3.7230,-2.9326,-51.4024,-17.3171,20.4878
goat03,2101,walking,0.6306,-0.0769,-1.1070,-147.1340,31.4634,149.0240
goat03,2201,walking,0.7154,-0.4624,0.3603,65.0000,142.7440,-12.5000
goat03,2301,walking,0.2704,-0.0922,0.5430,150.3050,-137.5000,-126.5850
goat03,2401,walking,0.0866,-3.1292,-1.5220,99.5122,66.0366,54.8171
goat03,2501,walking,0.3810,0.5538,-0.3982,30.7927,-162.1340,88.2317
goat03,2601,walking,0.8943,0.0670,-0.1107,-82.8049,-187.5000,-95.4268
goat03,2701,walking,0.2075,-0.0854,0.0618,-41.0366,207.9270,5.3659
goat03,2801,walking,0.0988,-0.3448,0.0933,-147.2560,10.7927,31.8293
goat03,2901,walking,0.7149,-0.8791,0.5973,-69.3902,89.4512,108.1710
goat03,3001,walking,0.6257,-0.3607,0.1004,120.4270,66.7683,-25.0000
goat03,3101,walking,0.2728,-0.3222,-0.4060,60.9756,-37.9268,-51.5244
goat03,3201,walking,0.3537,0.4963,0.4705,-66.5854,-112.9270,-13.7195
goat03,3301,walking,2.2422,-1.1738,1.1707,-82.5000,-290.1830,-130.3050
goat03,3401,walking,-0.0338,-0.1956,-0.2651,1.5854,184.0240,-41.5244
goat03,3501,walking,0.2601,-2.1890,-3.0987,-35.7317,-170.2440,35.9756
goat03,3601,walking,1.0274,-0.1893,0.0161,-226.0980,59.8780,134.3290
goat03,3701,walking,0.4844,-0.1982,0.6288,54.4512,123.9020,-4.6951
goat03,3801,walking,0.3732,-0.3543,0.2366,147.0730,-45.5488,-107.8660
goat03,3901,walking,0.1856,-1.7650,-2.4521,91.5244,-46.3415,16.6463
goat03,4001,walking,0.7920,0.3945,0.2122,0.9756,-144.1460,-43.1098
